Name,Theme,Size,Rarity,Enjoyment,Popularity,Artist Notes,Artist Effort,VFX Effort
Castle Model,"Fantasy, Model",3x3,Rare,,,,,
Tank,"Modern, Warfare, Invention",3x4,Exotic,,,,,
Holy Grail,Treasure,2x2,Rare,,,,,
Pirate's Chest,"Treasure, Pirate",2x2,Exhibit,,,,,
Flamethrower,"Modern, Invention, Warfare, Fire",2x3,Exhibit,,,laying down,,2
Unicorn Horn,"Beast, Light",2x2,Rare,,,,,1
Telescope,"Steampunk, Invention, Space",2x3,Exhibit,,,bigger steampunk telescope,,
Solar System Model,"Modern, Model, Space",3x3,Mythic,,,,,
Tesla Gun,"Steampunk, Warfare, Invention, Lightning",2x3,Exhibit,,,laying down,,2
Locomotive Model,"Steampunk, Model, Invention",2x3,Rare,,,,,
Tesla Coil,"Steampunk, Invention, Lightning",3x3,Rare,,,,,2
Blueprints,"Steampunk, Invention, Scripts",2x2,Exhibit,,,,,
Homunculi in a Vat,"Steampunk, Invention, Gothic",2x2,Rare,,,,,
Fossilized Amber,"Beast, Earth",2x2,Exhibit,,,,,
Original Steam Engine,"Steampunk, Invention",2x2,Mythic,,,,,
Witches Cauldron,Gothic,2x2,Exhibit,,,,,2
Grimoire,"Gothic, Scripts, Shadow",2x2,Exhibit,,,,,1
Necronomicon,"Gothic, Scripts, Shadow",2x2,Mythic,,,,,1
Dragonstone,"Earth, Fire",2x2,Rare,,,,,1
Kraken Tentacle,"Beast, Pirate",2x3,Mythic,,,laying down,,
Crystal Ball,Arcane,2x2,Exhibit,,,,,1
Moonflower Lily (glows),"Botanical, Light",2x2,Exhibit,,,,,1
Heart's Root,"Botanical, Gothic",2x2,Exhibit,,,,,
Bloodvine (thorned),"Botanical, Gothic",2x2,Exhibit,,,,,
Mandrake,"Botanical, Beast",2x2,Exotic,,,,,
Stormbloom Orchid (lightning particles),"Botanical, Lightning",2x2,Exotic,,,,,2
Aether Lotus (floats),"Botanical, Arcane",2x2,Rare,,,,,
Draconic Thorn (fiery),"Botanical, Fire",2x2,Mythic,,,,,2
Chalice Mushroom (fairy circle),Botanical,2x2,Rare,,,,,1
Aether Crystal (floats),"Earth, Arcane",2x2,Rare,,,,,1
Pyramid Model,"Fantasy, Model",3x3,Rare,,,,,
Ziggurat Model,"Fantasy, Model",3x3,Rare,,,,,
Colisseum Model,"Fantasy, Model",3x3,Rare,,,,,
Gothic Cathedral,"Gothic, Model",3x3,Rare,,,,,
Wizard Tower Model,"Fantasy, Model",2x2,Rare,,,,,
Clocktower Model,"Steampunk, Invention, Model",2x2,Rare,,,,,
Clockwork Wings,"Steampunk, Invention",2x3,Exotic,,,standing up,,
Glowing Sword,"Fantasy, Warfare",2x3,Exhibit,,,laying down,,1
Dragon Egg,"Fantasy, Beast",2x2,Rare,,,,,
Spellbook,"Scripts, Arcane",2x2,Rare,,,,,
Phoenix Feather,"Beast, Fire",2x2,Rare,,,,,1
Rune Stone,"Gothic, Earth, Arcane",2x2,Exhibit,,,,,1
Book of Shadows,"Gothic, Scripts, Shadow",2x2,Exotic,,,,,2
Mothman Wings,"Beast, Gothic",2x3,Exotic,,,standing up,,
Mimic Remains,"Beast, Treasure",2x2,Exotic,,,,,
Megladon Tooth,"Beast, Pirate",2x3,Exotic,,,laying down,,
Void Stone,"Earth, Gothic, Shadow",2x2,Exhibit,,,,,2
Blimp Model,"Steampunk, Model, Invention",3x3,Rare,,,,,
Magic Staff,"Fantasy, Warfare, Arcane",2x3,Exhibit,,,laying down,,
Ballista Model,"Warfare, Model",2x2,Exhibit,,,,,
Bow & Arrows,"Fantasy, Warfare",2x2,Exhibit,,,,,
Crossbow,"Warfare, Invention",2x2,Exhibit,,,,,
Rifle,"Steampunk, Warfare, Invention",2x3,Exhibit,,,laying down,,
Shield,"Fantasy, Warfare",2x2,Exhibit,,,,,
Starstone,"Earth, Space",2x2,Rare,,,,,
Floating Island Model,"Fantasy, Model",3x3,Exotic,,,,,
Ghostweed,"Pirate, Botanical",2x2,Rare,,,,,
Brass Flower,"Steampunk, Botanical",2x2,Exhibit,,,,,
Portal Door,"Fantasy, Arcane",3x2,Rare,,,standing up doorway,,
The Art of War,"Scripts, Warfare",2x2,Mythic,,,the book,,
Jeweled Crown,"Fantasy, Treasure",2x2,Rare,,,,,
Throne,"Fantasy, Treasure",2x2,Exhibit,,,,,
Moon Rock,"Modern, Earth, Space",2x2,Exhibit,,,,,
Space Rocket,"Modern, Invention, Space",3x3,Mythic,,,standing up,,
Space Suit,"Modern, Space",2x2,Exhibit,,,standing up,,
Tallest Skyscraper Model,"Modern, Model",2x2,Exotic,,,,,
Giant Spider,"Gothic, Beast",2x2,Exhibit,,,,,
Wands,"Warfare, Arcane",2x2,Exhibit,,,a collection of wnads,,
Ghost Urn,"Gothic, Pirate",2x2,Exhibit,,,,,2
Ship in a Bottle,"Model, Pirate",2x3,Exhibit,,,if i get to it ill add water to the bottle that moves,,2
Starchart,"Pirate, Space, Scripts",2x2,Exhibit,,,,,
Treasure Map,"Treasure, Scripts, Pirate",2x2,Exhibit,,,,,
Giant Pearl,"Treasure, Pirate",2x2,Exhibit,,,,,1
Exotic Beastiary ,"Scripts, Beast",2x2,Exhibit,,,a book,,
Meteorite,"Earth, Space",2x2,Exotic,,,,,
Black Hole Model,"Modern, Model, Space",2x2,Rare,,,all vfx,0,3
Supernova Model,"Modern, Model, Space",2x2,Rare,,,all vfx,0,3
Mini Nuke,"Modern, Warfare, Invention",2x2,Rare,,,standing,,
Eternal Storm Cloud,Lightning,2x2,,,,all vfx,0,3
Fiery Sword,"Warfare, Fire",2x3,Exotic,,,laying down,,1
Spell Scrolls,"Scripts, Arcane",2x2,,,,,,
Cyclops Eye,"Fantasy, Beast",2x2,,,,,,
Dragon Claw,"Beast, Warfare",2x2,,,,,,
Royal Scepter,"Fantasy, Treasure",2x3,Rare,,,laying down,,
Jolly Roger Flag,"Pirate, Model",2x2,,,,,,
Ice Palace Model,"Model, Fantasy, Ice",3x3,,,,,,
Volcano Model,"Model, Fire",3x3,Exhibit,,,,,
Volcanic Rock,"Fire, Earth",2x2,,,,,,
Frozen Heart,"Ice, Gothic",2x2,,,,,,
Cryo Chamber,"Modern, Ice, Invention",2x2,,,,standing,,
Beast In Ice,"Beast, Ice",3x3,,,,"big ice block with hints of the beast inside (you can be vague, an eye, a claw on the edge)",,
Wizard Battle Model,"Fantasy, Model, Warfare",3x3,,,,minitures,,
Modern Battle Model,"Modern, Model, Warfare",3x3,,,,minitures,,
Spaceship Battle Model,"Space, Model, Warfare",3x3,,,,"maybe dont do this one, but i thought it would be cool lmao",,
Medieval Battle Model,"Fantasy, Model, Warfare",3x3,,,,"swords, shields, spears (i would die for a little dragon model but its your life do what you want)",,
Naval Battle Model,"Pirate, Model, Warfare",3x3,,,,minitures,,
